original_title,overview,year,genre
Ocho apellidos catalanes,"Amaia après avoir rompu avec Rafa, tombe amoureuse d'un catalonien.Koldo, son père, se rend à Séville pour persuader Rafa d'aller en Catalogne et de reprendre le cœur d'Amaia.",2015,Romance
Jodi No.1,"Rai Bahadur vit un style de vie riche à Panjim, Goa, ainsi que trois frères, Raman, Kamal et Ashok avec leurs femmes et leurs enfants respectifs.Il a également une sœur, Shanno, et une fille, Rinki, qui a un âge marinable.Étant donné que son entreprise ne se porte pas trop bien, il demande à son ami basé aux États-Unis, Ranjit, pour obtenir de l'aide.En réponse, Ranjit envoie son fils, Vikramjit, pour aider Rai.Vikramjit arrive à la maison Rai avec son secrétaire et ami proche, Veeru, et bientôt tous les deux impliqués dans l'assistance à l'entreprise de RAI à se remettre sur les pieds.Ce que Rai ne sait pas, c'est que Vikramjit & amp;Veeru n'est pas ce qu'ils prétendent être, mais sont en fait Jai et Veeru, recherchés par la police de Bombay et figurent sur les criminels les plus recherchés de l'Inde.Regardez ce qui se passe lorsque leurs photos sont diffusées à la télévision nationale, et l'impact que cela a sur l'ensemble du clan Rai.",2001,Romance
The Plainsman,Calamity Jane essaie d'aider Buffalo Bill Cody et Wild Bill Hickock à arrêter une guerre indienne.,1966,Western
BloodRayne II: Deliverance,"Rayne, un guerrier à demi-vampire à moitié humain, est dans le Wild West des années 1880 pour arrêter les vampireurs Billy The Kid et son groupe de Vampire Cowboys.",2007,Western
Django spara per primo,Le père de Django est encadré par son partenaire commercial Clusker et abattu par un tueur de primes.Django hérite de ses pères partie de l'entreprise et une partition à s'installer avec Clusker.,1966,Western
Se vuoi vivere... spara,"Un jeune cow-boy, Johnny, jouant dans un jeu de poker truqué est obligé de tirer sur l'un des autres joueurs.Le cow-boy prend un congé rapide car il est accusé de meurtre et une récompense pour sa capture est affichée.Après avoir été blessé, il trouve refuge dans un ranch et s'implique dans la famille.Pendant qu'il est absent, un gang de Mexicains tue la famille McGowan à l'exception de Sally, qui parvient à s'échapper et à trouver Johnny qui est maintenant venu pour se venger.",1968,Western
Johnny Reno,Les citadins sont placés sur le lynchage d'un tueur accusé tenu dans le verrouillage de la ville.Mais le maréchal américain Johnny Reno se dresse sur leur chemin.,1966,Western
Julieta,"Le film s'étend sur 30 ans dans la vie de Julieta à partir d'un 1985 nostalgique où tout semble plein d'espoir, à 2015 où sa vie semble être hors de réparation et elle est sur le point de la folie.",2016,Romance
Traveling Saleslady,"Dans cette comédie, la fille espiègle d'un magnat de dentifrice, fatiguée des façons traditionnelles de son père de mener des affaires, s'associe à son rival de son père et à un inventeur fou.Ensemble, ils créent un «dentifrice de cocktail».La nouvelle concoction a un goût de whisky dans la matinée, un martini en souper et du champagne la nuit.",1935,Romance
公主復仇記,"Un mois après que Wai Ming ait rompu avec Ken, elle trouve des photos nues d'elle sur son site Web.Pour lui revenir, elle fait équipe avec sa nouvelle petite amie.",2004,Romance
Rock Haven,"La communauté côtière de la communauté de Rock Haven est l'endroit idéal pour que Brady, mignon de dix-huit ans et sa mère aimante, commence un nouveau départ.Leur mission: diffuser la parole du Seigneur.Mais en parcourant la plage un jour, Brady rencontre Clifford, un jeune homme qui est l'opposé complet de lui: sortant et athlétique ainsi que incroyablement beau.Leur rencontre initiale suscite des sentiments de désir d'Homo que Brady ait supprimé.Une fois que Clifford indique clairement que leur attraction est mutuelle, les sentiments contradictoires de Brady d'obligation religieuse et d'impulsion naturelle entrent en surmultipliée, et les deux jeunes hommes doivent naviguer dans leur confusion, leur luxure et leurs croyances afin de parvenir à une compréhension mutuelle.",2007,Romance
Tommy's Honour,"À chaque génération, une torche passe de père en fils.Et cette dynamique intemporelle est le cœur battant de l'honneur de Tommy - une histoire intime et puissamment émouvante des fondateurs réels du jeu moderne du golf.",2017,Romance
Les Amants de Montparnasse (Montparnasse 19),"Film biographique chronique la dernière année de la vie du peintre italien Amedeo Modigliani, 1919, qui tombe amoureux d'une fille d'une famille riche.Ses parents sont contre cette relation et arrêtent l'aide financière.Modigliani a travaillé et est décédé dans une pauvreté abjecte dans le quartier montagnard de Paris, en France.",1958,Romance
"Buon funerale, amigos!... paga Sartana","Après avoir été témoin d'un massacre brutal, le légendaire héros Sartana est prêt à enquêter.Presque tout le monde dans la petite ville d'Indian Creek semble désireux d'acheter la propriété laissée par les victimes du meurtre, et l'une d'elles pourrait bien être derrière les tueries.Le shérif lui-même n'est pas au-dessus de la suspicion, donc Sartana doit découvrir le coupable tout seul.",1970,Western
A Selva,"Le jeune homme, d'ascendance de la noblesse portugaise, commence à travailler dans une plantation en caoutchouc en Amazonie, en 1912, et tombe amoureux de Pretty Yayá, une femme mariée.",2002,Romance
Gunslinger,"Après que son mari soit abattu, Rose Hood prend sa place de shérif d'une petite ville occidentale.",1956,Western
Après l'amour,"Lola est une femme indépendante, une écrivaine professionnelle avec 2 hommes sur une corde.Les deux hommes sont mariés avec des enfants.Lorsque les hommes et Lola font face à faire des choix, la vie confortable de Lola devient moins attrayante.",1992,Romance
L'aube du monde,"Les marais mésopotamiens, au delta des rivières Euphrate et Tigre, dans le sud de l'Irak.C'est là que Mastour et Zahra grandissent.Peu de temps après leur mariage, Mastour et Zahra sont obligés de se séparer lorsque la guerre du Golfe éclate.Sur le champ de bataille, Mastour se lie d'amitié avec Riad, un jeune soldat de Baghdad.Mortellement blessé, Mastour fait promettre à Riad de protéger Zahra lorsque la guerre est terminée.Lorsque Riad arrive dans le village, il tombe profondément amoureux de Zahra.Mais incapable de supporter la perte de son mari, Zahra s'arrête.Dans cet environnement complètement étranger qui est hostile à ce nouveau venu, et en tant que nouveau conflit est sur le point d'enflammer toute la région, Riad fera l'impossible de trouver sa place.",2009,Romance
Cahill U.S. Marshal,"J.D. Cahill est le maréchal américain le plus coriace qu'ils ont, juste le son de son nom fait que les méchants s'arrêtent sur leurs traces, donc quand ses deux jeunes garçons veulent attirer son attention, ils décident de voler une banque.Ils finissent par obtenir plus que ce qu'ils ont négocié.",1973,Western
Paris Can Wait,"Une femme à la croisée des chemins se rendant à Cannes avec son mari producteur à succès, se retrouve dans un road trip de deux jours avec son associé.Ce qui suit est un voyage insouciant rempli de détournements impliquant des sites pittoresques, de la nourriture et du vin, de l'humour, de la sagesse et de la romance - les sens d'Anne et une nouvelle convoitise pour la vie.",2016,Romance
"Une corde, un Colt...","Maria cherche à se venger des tueurs de son mari.Elle enrôle l'aide du meilleur ami de son mari, Manual, une gunfighter réticente, mais qualifiée.",1969,Western
Arena,"Laissée par sa femme (Polly Bergen), une vaine star du rodéo (Gig Young) ramasse un floozy (Jean Hagen) et monte un mauvais taureau Brahman.",1953,Western
El hombre de Río Malo,"Le voleur Roy King perd sa femme, Alicia, au révolutionnaire Montero.Malgré leur rivalité, ils collaborent pour tenter de priver le gouvernement mexicain d'un million de dollars.",1971,Western
Un dollaro bucato,Deux frères se présentent à la compagnie pour être réunis quand on est embauché pour arrêter un voleur qui se révèle être son frère.,1965,Western
Merry Kissmas,"Détestant sa relation à partir d'un chorégraphe contrôlant, Kayla fait un tour d'ascenseur avec le traiteur solitaire «Dustin».L'ascenseur s'allume, et spontanément, des baisers magiques suivent.Bientôt, le chorégraphe se fait bien et Dustin se retire.Kayla devient confuse quant à quel homme aimer.",2015,Romance
Jane Eyre,"Le roman classique de Charlotte Bronte est à nouveau filmé.L'histoire de l'orphelin du Yorkshire qui devient une gouvernante pour une jeune française et trouve l'amour avec le seigneur couvain du manoir reçoit une poussée romantique standard, mais les étincelles ne semblent pas se produire entre les deux pistes de cette version.",1997,Romance
Mohenjo Daro,"Le garçon du village Sarman est attiré par le grand, mauvais Mohenjo Daro - et sa mascotte Chaani.Mais Chaani doit marier Munja, fils du dirigeant de Mohenjo Daro, Maham.Sarman trouvera-t-il l'amour - et plus - à Mohenjo Daro?",2016,Romance
Murder,"Simran et Sudhir Saigal sont mariés depuis plusieurs années et sont installés à Bangkok, en Thaïlande.Ils vivent une vie assez harmonieuse mais occupée, et ont un enfant, un fils.Lorsque Sudhir revient de façon inattendue, il trouve que sa femme a une liaison avec un autre homme.Il embauche un détective privé du nom de Ramanathan, qui produit des preuves photographiques de sa liaison avec un homme, dont le nom est ensoleillé.Sudhir décide de rencontrer Sunny, et il y a une confrontation physique, ce qui entraîne la mort de Sunny.Sudhir prend le corps et l'enterre ailleurs et rentre chez lui.Quelques jours, l'inspecteur de la police de Bangkok, Rajvir Singh, arrive chez eux pour se renseigner sur Sunny, qui a été porté disparu.Peu de temps après, Sudhir reçoit des photographies incriminantes de lui-même enterrant le corps de Sunny.Sudhir raconte à Simran son secret, et ensemble, ils vont vérifier si le corps est toujours enterré.Leurs découvertes choquantes sur le site changeront leur vie pour toujours.",2004,Romance
Django Unchained,"Avec l'aide d'un chasseur de primes allemand, un esclave libéré se propose de sauver sa femme d'un propriétaire brutal de la plantation du Mississippi.",2012,Western
Blondinka za Uglom,"Un astrophysicien au chômage trouve un emploi de Docker dans une épicerie, où il tombe amoureux d'une vendeuse de rue dans le département des produits.Mais le marié s'enfuit à la réception de mariage.",1983,Romance
Un plus une,Un compositeur de cinéma à succès tombe amoureux lorsqu'il se rend en Inde pour travailler sur un récit de Bollywood de Roméo et Juliette.,2015,Romance
Butch and Sundance: The Early Days,"Une sorte de ""préquelle"" à ""Butch Cassidy and the Sundance Kid"", racontant la vie des deux hors-la-loi dans les années précédant les événements décrits dans le film Newman / Redford.",1979,Western
좋아해줘,"Un écrivain de théâtre télévisé notoirement aiguille et une star des vagues coréennes qui se battent comme des chats et des chiens à chaque fois qu'ils se rencontrent;une propriétaire d'agent de bord célibataire et un locataire de chef fouetté qui construisent un sentiment de camaraderie;Un compositeur de génie de la relation entre la relation qui abrite une admiration secrète pour un producteur de dispersion.Alors qu'ils s'écrasent dans la vie de l'autre, y aura-t-il de l'amour?",2016,Romance
The Wild and the Innocent,"Chale charmant de la première vie de ""grande ville"" de l'alpiniste Murphy avec la jeune Sandra Dee, la jeune Sandra Dee.Elle fuit sa famille, qui a essayé de l'échanger contre certains des peaux de castor de Murphy, et étiquette le Murphy réticent.Ils ont toutes sortes de problèmes en ville, et Murphy doit tirer sur le shérif pour sauver Dee de son travail de fille dancehall.",1959,Western
"Valdez, il mezzosangue","Chino Valdez est un éleveur de chevaux solitaire vivant dans le vieil ouest.En partie un solitaire par choix, et en partie parce que, étant une «race à moitié», il se retrouve indéfectible presque partout où il va.Un jour, une jeune fugue nommée Jimmy se présente à sa porte à la recherche de travail et d'un toit au-dessus de sa tête.À contrecœur, Chino accepte de l'emmener et de lui apprendre l'art d'élever, de briser et d'élever des chevaux, jusqu'à ce que le couple commence enfin à s'accepter.",1973,Western
목숨 건 연애,"Je-in (ha ji-won) est un écrivain de roman mystère.Elle poursuit un tueur en série avec son ami de longue date Rok-Hwan (Chun Jung-Myung).Rok-Hwan est un détective.Un homme beau et mystérieux, Jason (Chen Bolin), apparaît devant eux.",2016,Romance
One Starry Christmas,"Un professeur en aspirant en astronomie trouve une romance de Noël inattendue lorsqu'elle rencontre un charmant cow-boy pendant ses voyages de vacances.Alors qu'elle décide entre ce nouveau cow-boy et son petit ami pratique, elle doit décider s'il est préférable de jouer en toute sécurité dans l'amour, ou de laisser un cow-boy aventureux voler son cœur.",2014,Romance
Jonah Hex,"Gunslinger Jonah Hex (Josh Brolin) est nommé par le président Ulysse Grant pour retrouver la terroriste Quentin Turnbull (John Malkovich), un ancien officier confédéré déterminé à libérer l'enfer sur Terre.Jonas assure non seulement la liberté en acceptant cette tâche, mais il se venge également de l'homme qui a tué sa femme et son enfant.Megan Fox joue une prostituée ainsi que l'amour de Jonah Hex dans le film.",2010,Western
The Iron Sheriff,"Le shérif de la paix frontière Galt (Sterling Hayden) fait face à une crise de conscience dans le shérif de fer.Au lendemain d'un vol de vol, Galt suit directement la trace des preuves à son propre fils, Benjie (Darryl Hickman).Asserment pour maintenir la loi à tout prix, Galt est sombrement déterminé à voir que Benjie recevra un procès équitable sans aucune coercition de sa part.Mais les citadins ont déjà décidé que le shérif essaiera de jaillir le garçon, et une mentalité Lynch-Mob ralentit son chemin à travers la communauté.Au fur et à mesure que le procès se déroule, il devient évident que Benjie va accrocher pour son crime présumé, mais il y a encore une ou deux surprises en magasin.",1957,Western
Warlock,"Une bande de cow-boys meurtriers a imposé un règne de terreur à la ville de Warlock.Lorsque le shérif manquait de manière humiliante de la ville, les résidents embauchent les services de Clay Blaissell en tant que maréchal de la ville de facto.Il arrive avec son ami Tom Morgan et entretient sur la restauration de la loi et de l'ordre selon ses propres conditions tout en supervisant la création d'une maison de jeu et d'un salon.",1959,Western
Autoerotic,"L'autoérotique de Joe Swanberg et Adam Wingard suit quatre couples interconnectés de Chicago alors qu'ils explorent les limites de l'auto-plaisir et de l'exploration sexuelle.Grâce à un mélange unique de comédie scandaleuse et de sexe en face, autoérotique illumine la vie sexuelle privée des urbanites américaines.",2011,Romance
The Iron Mistress,"Présentation à peine historique de la vie de Jim Bowie.Ici, il se rend à la Nouvelle-Orléans pour vendre du bois mais tombe amoureux du Judalon.Pour correspondre à ses rivaux, il doit devenir sophistiqué et le fait.Au moment où il vend le moulin, commence une plantation et essaie d'épouser le Jedualon, la femme a épousé Playboy Phillipe.En chemin vers la vraie sagesse, il conçoit un couteau spécial fait à partir d'une partie d'une météorite.",1952,Western
Oklahoma Crude,"En 1913, dans l'Oklahoma, la propriétaire du Derrick Oil, Lena Doyle, aidée par son père et un hobo, perce obsolète pour le pétrole malgré la pression des grandes compagnies pétrolières pour vendre ses terres.",1973,Western
Три плюс два,"Trois meilleurs amis vont passer des vacances sur un rivage de mer.Mais quand ils arrivent à leur endroit habituel, ils constatent soudainement que l'endroit est déjà occupé - par deux belles filles.",1963,Romance
"L'uomo, l'orgoglio, la vendetta","Un officier de l'armée espagnol, Don Jose (Nero), stationné à Séville, rencontre et commence une relation avec un mystérieux gitan, Carmen (Aumont).Après avoir révélé qu'elle l'a trompée avec son lieutenant, il tue l'officier et fuient la ville avec Carmen.Il se rétablit de ses blessures et est obligé de commencer la vie d'un bandit.",1967,Western
Last Stand at Saber River,"Alors que l'Amérique se rétablit de la guerre civile, un homme essaie de remonter les morceaux de sa vie mais se retrouve à combattre une nouvelle bataille à la frontière.Cable est un soldat confédéré aigri qui revient de la guerre pour récupérer sa propriété familiale de l'Arizona des pionniers rebelles qui sympathisent avec l'effort de guerre de l'Union.",1997,Western
A Date for Mad Mary,"""Mad"" Mary McArdle revient à Drogheda après un court laps de prison pour quelque chose qu'elle préfère oublier.De retour à la maison, tout et tout le monde a changé.Sa meilleure amie, Charlene, est sur le point de se marier et Mary est demoiselle d'honneur.Lorsque Charlene refuse à Mary un «plus un» au motif qu'elle ne pouvait probablement pas trouver de date, Mary devient déterminée à prouver que elle a tort.",2016,Romance
Pioneer Woman,Une famille de propriété familiale dans le Wyoming 1867 fait face à une crise lorsque le mari est tué et que la femme doit décider de rester ou de ramener son fils et sa fille à l'est.,1973,Western
Jane Eyre,"Après avoir vécu une vie misérable avec sa tante, Jane Eyre, orpheline, est envoyée à Lowood, un école résidentielle pour les enfants à moyens limités.Jane prend les conseils de son amie et, pendant de nombreuses années, prend ses études au sérieux, faisant finalement de la publicité pour un poste de gouvernante.Elle obtient un poste dans la maison d'Edward Rochester, où sa salle, Adele, est récemment venue vivre.Elle se rend vite compte qu'il y a quelque chose d'étrange dans la maison et elle voit régulièrement des personnages sombres dans Windows ou entend des voix.Personne n'admettra cependant à être personne d'autre dans la maison.Alors qu'elle et ses nouveaux employeurs développent une profonde affection les uns pour les autres, le secret de la maison de Rochester menace de les séparer.",1983,Romance
Ambush,Un occidental cherche une femme blanche tenue par les Apaches.,1950,Western
The Ring,"Pendant la Seconde Guerre mondiale, une jeune allemande est séparée de sa famille et emprisonnée par les nazis.Après avoir été libérée, elle tombe amoureuse et épouse un officier allemand.Lorsque Berlin tombe aux Russes et que son mari a tué, elle s'enfuit en Amérique, portant son enfant à naître, tout en n'abandonnant pas qu'elle trouvera sa famille, attachée par la bague de sa mère.",1996,Romance
Panny z Wilka,"Situé à la fin des années 20.Un jeune homme de trente ans, qui dirige une petite usine, s'évanouit aux funérailles d'un ami proche.Il décide de rentrer chez lui depuis un certain temps à sa tante et son oncle, mais s'implique dans une famille de cinq femmes qui était amoureson départ.Les femmes sont principalement déçues par la vie ou éloignées des maris tandis que le plus jeune a le béguin pour lui.",1979,Romance
Big Jake,Un homme de bétail du Texas vieillissant qui a survécu à son temps dans l'action lorsque les hors-la-loi kidnappent son petit-fils.,1971,Western
Skin Game,"Quincy Drew (Garner) et Jason O'Rourke (Gossett) voyagent de la ville en ville au sud des États-Unis pendant l'ère de l'esclavage.Drew prétend être un propriétaire d'esclaves à la chance qui vend O'Rourke en tant qu'esclave.Quincy fait rouler les enchères, vend Jason et les deux se rencontrent plus tard pour diviser le profit.Jason est né un homme libre dans le New Jersey et est très bien éduqué.",1971,Western
